0	0	0	0
1	50	50	25
2	125	175	50
3	200	375	100
4	300	675	200
5	500	1,175	300
6	750	1,925	400
7	1,000	2,925	500
8	1,500	4,425	600
9	2,000	6,425	700
10	3,500	9,925	800
11	5,000	14,925	900
12	7,500	22,425	1,000
13	10,000	32,425	1,100
14	15,000	47,425	1,200
15	20,000	67,425	1,300
16	30,000	97,425	1,400
17	50,000	147,425	1,500
18	75,000	222,425	1,600
19	100,000	322,425	1,800
20	200,000	522,425	2,000
21	300,000	822,425	2,200
22	400,000	1,222,425	2,400
23	500,000	1,722,425	2,600
24	600,000	2,322,425	2,800
25	700,000	3,022,425	3,000
26	800,000	3,822,425	3,500
27	900,000	4,722,425	4,000
28	1,000,000	5,722,425	5,000
29	1,100,000	6,822,425	6,000
30	1,200,000	8,022,425	7,500
31	1,300,000	9,322,425	10,000
32	1,400,000	10,722,425	12,500
33	1,500,000	12,222,425	15,000
34	1,600,000	13,822,425	17,500
35	1,700,000	15,522,425	20,000
36	1,800,000	17,322,425	25,000
37	1,900,000	19,222,425	30,000
38	2,000,000	21,222,425	35,000
39	2,100,000	23,322,425	40,000
40	2,200,000	25,522,425	45,000
41	2,300,000	27,822,425	50,000
42	2,400,000	30,222,425	60,000
43	2,500,000	32,722,425	70,000
44	2,600,000	35,322,425	80,000
45	2,750,000	38,072,425	90,000
46	2,900,000	40,972,425	100,000
47	3,100,000	44,072,425	125,000
48	3,400,000	47,472,425	150,000
49	3,700,000	51,172,425	175,000
50	4,000,000	55,172,425	200,000
51	4,300,000	59,472,425	250,000
52	4,600,000	64,072,425	300,000
53	4,900,000	68,972,425	350,000
54	5,200,000	74,172,425	400,000
55	5,500,000	79,672,425	450,000
56	5,800,000	85,472,425	500,000
57	6,100,000	91,572,425	600,000
58	6,400,000	97,972,425	700,000
59	6,700,000	104,672,425	800,000
60	7,000,000	111,672,425	1,000,000
